coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,format,type,subtype,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,tag,providerManagedID,MetadataDate,associatedSpecimenReference,metadataLanguage
467578,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:2b99350d-e4b8-4533-abef-0e563d1337a8,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=467578,en
467579,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:414bc466-ab80-4987-9fff-0d9acf70e37e,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=467579,en
467580,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:ea22d336-b9cb-4488-b40d-0ad552d37057,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=467580,en
467581,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp63353533693086638878att_1649378236_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63353533693086638878.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:d2407ac7-f7ec-4f17-95ca-1e01d720c39c,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=467581,en
467582,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66918407447145189561.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66918407447145189561.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp66918407447145189561att_1649411239_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66918407447145189561.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:9a48a6c4-9a37-4770-9f15-4eb37d8a9520,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=467582,en
467583,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62495789772406951239.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62495789772406951239.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62495789772406951239.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62495789772406951239.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:9d8d8cad-d5a5-4645-beb0-7442376d3979,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=467583,en
467584,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62495789772406951239.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62495789772406951239.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp62495789772406951239att_1649457659_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62495789772406951239.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:e49502cd-2c14-44c1-96ad-9d00b152bd82,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=467584,en
467585,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62495789772406951239.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62495789772406951239.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62495789772406951239.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62495789772406951239.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:19e55bc1-0a7d-4a9d-863f-cea5e1df30fd,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=467585,en
467586,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61717411223249857474.att.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61717411223249857474.att.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61717411223249857474.att.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61717411223249857474.att.jpg,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:50d50bcd-6749-491c-bebf-32af8faa7a2a,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=467586,en
467587,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66918407447145189561.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66918407447145189561.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp66918407447145189561att_1649379243_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66918407447145189561.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:24184e88-54b4-4e0c-89c5-7f43d3a1502b,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=467587,en
