coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,format,type,subtype,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,tag,providerManagedID,MetadataDate,associatedSpecimenReference,metadataLanguage
293664,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61750128283900881122.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61750128283900881122.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp61750128283900881122att_1649341653_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp61750128283900881122.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:08e9cd63-f9c4-4222-8083-e436e51b7575,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=293664,en
2263873,https://media01.symbiota.org/media/ecdysis/UA_UAIC/202108/UAIC1136772_labels_dorsal.JPG,https://media01.symbiota.org/media/ecdysis/UA_UAIC/202108/UAIC1136772_labels_dorsal.JPG,https://media01.symbiota.org/media/ecdysis/UA_UAIC/202108/UAIC1136772_labels_dorsal_tn.jpg,https://media01.symbiota.org/media/ecdysis/UA_UAIC/202108/UAIC1136772_labels_dorsal_lg.jpg,image/jpeg,StillImage,Photograph,,"University of Arizona Insect Collection (UA-UAIC)",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:1bbe8778-36c6-4a03-b803-16a0c3a4a6c6,"2023-09-12 19:14:39",https://library.big-bee.net/portal/collections/individual/index.php?occid=2263873,en
2263874,https://media01.symbiota.org/media/ecdysis/UA_UAIC/202108/UAIC1136773_labels_dorsal.JPG,https://media01.symbiota.org/media/ecdysis/UA_UAIC/202108/UAIC1136773_labels_dorsal.JPG,https://media01.symbiota.org/media/ecdysis/UA_UAIC/202108/UAIC1136773_labels_dorsal_tn.jpg,https://media01.symbiota.org/media/ecdysis/UA_UAIC/202108/UAIC1136773_labels_dorsal_lg.jpg,image/jpeg,StillImage,Photograph,,"University of Arizona Insect Collection (UA-UAIC)",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:6dfb101d-4da8-4c11-a012-bb1e8722b4bd,"2023-09-12 19:14:39",https://library.big-bee.net/portal/collections/individual/index.php?occid=2263874,en
