coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
1078487,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,f474b203-2126-4294-89b7-3752dab2dc97,"2023-06-20 14:31:37"
1078488,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,5318c592-5c32-4f77-9399-d746f0a81140,"2023-06-20 14:31:37"
1078489,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,2ecee5f0-da36-4aa4-8fd0-b4e9ba32f677,"2023-06-20 14:31:37"
1078490,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,80ad6d42-a105-4598-84f0-4a348085a370,"2023-06-20 14:31:37"
1078491,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,e11e5fa2-feb5-4372-9340-badf606c08b9,"2023-06-20 14:31:37"
1078492,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,bfef14c9-b01e-4ee6-9ab4-87bdded3e02d,"2023-06-20 14:31:37"
1078493,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,5c5f879e-47b7-4c80-9c6e-2ec69d175411,"2023-06-20 14:31:37"
1078494,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,762c3b1c-3587-4cfa-a9c9-b27aec7f187f,"2023-06-20 14:31:37"
1078495,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,8278e495-b6f9-4660-87ff-fc6fff502d29,"2023-06-20 14:31:37"
1078496,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,bcbfcb9d-d399-4eff-9232-b4b4d66b921a,"2023-06-20 14:31:37"
1078497,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,ef69e7d8-1fd0-4d82-8086-cf44f8243dad,"2023-06-20 14:31:37"
1078498,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,1f3a43cf-4061-4a6c-9fd3-c7a1801bb75c,"2023-06-20 14:31:37"
1078499,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,fffbb217-8f77-42f2-a7f8-a6f1ad99f15f,"2023-06-20 14:31:37"
1078500,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,63ce6909-1759-4738-9244-f26afb9f5916,"2023-06-20 14:31:37"
1078501,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,c330b783-2c05-40d1-b550-8eb9b548486d,"2023-06-20 14:31:37"
1078502,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,1ac73170-3ddf-458f-8f86-f85eb41377f9,"2023-06-20 14:31:37"
1078503,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,74ffb73a-f5b3-49c9-a522-cdf9da9524fe,"2023-06-20 14:31:37"
1078504,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,382043d2-b44f-467c-9999-cf68d05eb103,"2023-06-20 14:31:37"
1078505,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,49e8c9c8-9f76-471c-aaff-5ce2e7c99eca,"2023-06-20 14:31:37"
1078506,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,14c5cb07-26cd-4042-a98c-190ad9147d22,"2023-06-20 14:31:37"
1078507,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,ea04d42c-6a39-4f8a-973c-72d402b25f9a,"2023-06-20 14:31:37"
1078508,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,674a8cf4-64c7-4536-8a2f-9c959a9ac8a4,"2023-06-20 14:31:37"
1078509,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,22fe022e-c477-4de8-8085-11846dc331cc,"2023-06-20 14:31:37"
1078510,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,cabbb4ce-5692-4ca8-a3b1-c8cebb9a731e,"2023-06-20 14:31:37"
1078511,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,da29bfc7-5306-49d4-b98b-ebec758f265e,"2023-06-20 14:31:37"
1078512,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,f38a66e2-9e09-4333-8599-c37bc28fc62d,"2023-06-20 14:31:37"
1078513,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,823c31b7-229d-424a-bdac-d29a4e369869,"2023-06-20 14:31:37"
1078514,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,8877d550-7bc7-40be-851f-4707fd56611a,"2023-06-20 14:31:37"
1078515,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,ce4da141-a659-48ab-8fe8-5803df1d6068,"2023-06-20 14:31:37"
1078516,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,0e9048d3-0335-4637-88e6-79a29612a20f,"2023-06-20 14:31:37"
1078517,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,69035b9e-01f1-46e6-ac15-fdd47f2182a4,"2023-06-20 14:31:37"
1078518,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,0694f454-0d8f-49e7-b8e3-edd579c562c2,"2023-06-20 14:31:37"
1078519,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,e4148278-a8d3-4702-bc12-1fe5ae48c61a,"2023-06-20 14:31:37"
1078520,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,d7c17f51-b39f-425e-b3ff-7ca33ccbe2f1,"2023-06-20 14:31:37"
1078521,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,eb7d440c-b6d9-4c2a-ac82-86e735a1b180,"2023-06-20 14:31:37"
1078522,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,41d3e4a6-12f7-4dbc-b554-6c45b88e2311,"2023-06-20 14:31:37"
1078523,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,90f46446-092e-49f9-bfb3-238ddca634fd,"2023-06-20 14:31:37"
1078524,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,2558f227-a896-40b5-b0d8-8c8b3d0e386e,"2023-06-20 14:31:37"
1078525,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,72bc23f1-fae6-450e-b226-adbd2dcf421c,"2023-06-20 14:31:37"
1078526,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,97df31eb-b7b3-49ca-9afe-12ad5dee52bf,"2023-06-20 14:31:37"
1078527,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,4f8ddfcb-db29-4af0-96b7-d11a24f1482d,"2023-06-20 14:31:37"
1078528,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,87fe1cdc-d8d5-4836-b2cb-bd9f0e4a5c63,"2023-06-20 14:31:37"
1078529,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,20125780-cd9e-4996-810e-e9e7cb329c73,"2023-06-20 14:31:37"
1078530,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,d5b99214-3f72-4aa1-a321-2a9243c7b21e,"2023-06-20 14:31:37"
1078531,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,8076ca8c-c377-48aa-91b9-da5745e16c56,"2023-06-20 14:31:37"
1078532,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,d6e94db3-e778-498e-8dee-9c9b2d4bdebb,"2023-06-20 14:31:37"
1078533,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,61e1e381-9605-40d4-ae99-464d3d57047c,"2023-06-20 14:31:37"
1078534,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,e678cd26-595b-4fdc-9e75-bf513a4572bc,"2023-06-20 14:31:37"
1078535,"T.L. Griswold 2001",s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,5febbd0e-ddbe-4810-96f4-344ec8687da3,"2023-06-20 14:31:37"
1078536,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,6547a4d9-94b9-441e-be81-cedb1981f352,"2023-06-20 14:31:37"
1078537,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,32b2145d-d1bb-47ff-8228-f798b8c5d1a3,"2023-06-20 14:31:37"
1078538,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,5455bed6-0724-484c-8bed-a6d05acd0c6e,"2023-06-20 14:31:37"
1078539,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,24d7fa32-836a-4b88-9be5-9055718e20e8,"2023-06-20 14:31:37"
1078540,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,46a1caf2-d933-4100-abe7-198507df2c72,"2023-06-20 14:31:37"
1078541,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,11821356-d2e4-4120-94e5-eb474287e297,"2023-06-20 14:31:37"
1078542,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,2aa6e55a-d79a-4d1d-8077-92b41bff66e6,"2023-06-20 14:31:37"
1078543,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,8ab65b96-cdf4-401e-80b9-8733894c074e,"2023-06-20 14:31:37"
1078544,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,5daaf93a-cf18-4d24-9fb3-b89d77f2582c,"2023-06-20 14:31:37"
1078545,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,7a718878-d8c5-4ace-9a9e-b58abc6b00a7,"2023-06-20 14:31:37"
1078546,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,299fe315-2cb9-4ba2-9412-e5881c7ae18d,"2023-06-20 14:31:37"
1078547,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,ddb24930-f6e8-4290-9978-cf868a1d08cc,"2023-06-20 14:31:37"
1078548,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,bbce1f35-7dee-4f88-9272-b18f8f09ab6c,"2023-06-20 14:31:37"
1078549,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,780f53dc-c8ee-460b-87b8-4840a8886641,"2023-06-20 14:31:37"
1078550,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,112d8306-09de-4789-8a71-c8691f353ec1,"2023-06-20 14:31:37"
1078551,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,71f92fb4-6a38-417f-8f5f-b2ad5a7c7a1e,"2023-06-20 14:31:37"
1078552,"T.L. Griswold 2000",s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,c1048161-3e8a-4504-9869-86f0466c5c1d,"2023-06-20 14:31:37"
1078553,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,95ec4cb9-3dc3-4e74-bc02-504c5e2f5343,"2023-06-20 14:31:37"
1078554,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,e75ac02e-2ea3-4b75-ac12-dc4057e0f29d,"2023-06-20 14:31:37"
1078555,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,57ad5bcc-3cc7-4e8f-afda-7a4b960087ed,"2023-06-20 14:31:37"
1078556,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,2ff7eabe-37f5-4336-849b-ab632340aa67,"2023-06-20 14:31:37"
1078557,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,0bdd2ce8-b091-4bb5-a5c8-6333f054c6d1,"2023-06-20 14:31:37"
1078558,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,5027e8e2-97e2-431a-8a0a-b85cd302ac2e,"2023-06-20 14:31:37"
1078559,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,8bf0f57c-bff9-4205-b1ab-85e89a3212b7,"2023-06-20 14:31:37"
1078560,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,2ecc57b8-be78-4369-b9de-eaa00e7bda24,"2023-06-20 14:31:37"
1078561,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,df73c780-81c8-4ebe-9ba6-3264ca87f484,"2023-06-20 14:31:37"
1078562,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,ab33361e-2eff-46ec-a10c-4ede7e85d91d,"2023-06-20 14:31:37"
1078563,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,e64b8cad-6918-4fff-a6da-211cd325f4aa,"2023-06-20 14:31:37"
1078564,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,3a75cc86-28a2-41d7-bf04-8be5c921b347,"2023-06-20 14:31:37"
1078565,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,57ee2f5a-38a0-47f0-8fce-d0e6d29b7b1b,"2023-06-20 14:31:37"
1078566,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,b246c44c-f039-4088-b37e-3ed0867bfec9,"2023-06-20 14:31:37"
1078567,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,8017673d-5564-458c-a1c0-4a8ad818bcb3,"2023-06-20 14:31:37"
1078568,"T.L. Griswold 1991",s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,72e628ab-0d92-49ba-9362-ce8d25e34782,"2023-06-20 14:31:37"
1078569,unknown,s.d.,,"Perdita holoxantha","Timberlake 1962",Perdita,holoxantha,,,,,dd89e75a-6c08-43c6-9bbe-17938854b598,"2023-06-20 14:31:37"
