coreid,identifier,title,format,recordID,initialTimestamp
575223,"SJH# 7160",,,,"2026-04-21 14:11:52"
2199306,SBV010705,,,,"2026-04-21 14:11:53"
2199307,SBV064653,,,,"2026-04-21 14:11:53"
2484565,NULL,,,,"2026-04-21 14:11:55"
2511967,NULL,,,,"2026-04-21 14:11:55"
