coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
85772,"Timberlake, P",s.d.,,"Perdita coreopsidis coreopsidis",,,,,,,,0295ee91-c55f-4440-b977-1dd42fa92118,"2023-06-20 14:31:37"
85781,"Timberlake, P",s.d.,,"Perdita coreopsidis obscurior","Timberlake, 1953",Perdita,coreopsidis,,obscurior,,,a5651ee5-52de-4391-b91b-a3df227211a8,"2023-06-20 14:31:37"
85914,"Timberlake, P",s.d.,,"Perdita coreopsidis coreopsidis",,,,,,,,e17d165b-0a4e-4467-8593-20b98e8d6480,"2023-06-20 14:31:37"
86172,"Timberlake, P",s.d.,,"Perdita coreopsidis obscurior","Timberlake, 1953",Perdita,coreopsidis,,obscurior,,,e5912f7b-5b30-475f-8eba-8b63aea7b427,"2023-06-20 14:31:37"
86484,"Timberlake, P",s.d.,,"Perdita coreopsidis obscurior","Timberlake, 1953",Perdita,coreopsidis,,obscurior,,,936b3a91-a2df-4b6f-9999-bacfdd513c09,"2023-06-20 14:31:37"
86884,"Timberlake, P",s.d.,,"Perdita coreopsidis coreopsidis",,,,,,,,89a58093-faaa-4dc0-8879-ef6ba5787838,"2023-06-20 14:31:37"
87292,"Timberlake, P",s.d.,,"Perdita coreopsidis coreopsidis",,,,,,,,b3e07a28-3fde-4ab0-8b4e-597c979f3a0f,"2023-06-20 14:31:37"
87437,"Timberlake, P",s.d.,,"Perdita coreopsidis obscurior","Timberlake, 1953",Perdita,coreopsidis,,obscurior,,,2ce9fd8f-eeeb-46b1-993d-ec821c23f5c9,"2023-06-20 14:31:37"
87723,unknown,s.d.,,"Perdita coreopsidis","Cockerell, 1906",Perdita,coreopsidis,,,,,6670bed2-8dc1-4231-9e6c-a44008f370e1,"2023-06-20 14:31:37"
87945,"Timberlake, P",s.d.,,"Perdita coreopsidis obscurior","Timberlake, 1953",Perdita,coreopsidis,,obscurior,,,d4cd38be-31ef-4a15-8836-4e8a64bdec49,"2023-06-20 14:31:37"
88338,"Timberlake, P",s.d.,,"Perdita coreopsidis obscurior","Timberlake, 1953",Perdita,coreopsidis,,obscurior,,,cb8ca443-4c4a-4756-ad5d-371270971aa8,"2023-06-20 14:31:37"
88771,"Timberlake, P",s.d.,,"Perdita coreopsidis obscurior","Timberlake, 1953",Perdita,coreopsidis,,obscurior,,,98ffc6b9-299c-4776-9c47-6a2e9d2e96a4,"2023-06-20 14:31:37"
88859,"Timberlake, P",s.d.,,"Perdita coreopsidis obscurior","Timberlake, 1953",Perdita,coreopsidis,,obscurior,,,ebf3ef60-b538-4178-a42e-2e8571874f28,"2023-06-20 14:31:37"
88937,"Timberlake, P",s.d.,,"Perdita coreopsidis obscurior","Timberlake, 1953",Perdita,coreopsidis,,obscurior,,,e9ec1e04-4d3d-42e1-aa97-1537e29d4ab2,"2023-06-20 14:31:37"
88955,unknown,s.d.,,"Perdita coreopsidis","Cockerell, 1906",Perdita,coreopsidis,,,,,7657485a-3ca4-4ddd-8ec4-8284b945cef7,"2023-06-20 14:31:37"
88970,"McGinley, R",s.d.,,"Perdita coreopsidis collaris","Cockerell, 1916",Perdita,coreopsidis,,collaris,,,7fd44bb7-6a05-4855-9be5-22a8e65aad1d,"2023-06-20 14:31:37"
89392,"Timberlake, P",s.d.,,"Perdita coreopsidis obscurior","Timberlake, 1953",Perdita,coreopsidis,,obscurior,,,cccc0aef-63d6-4402-9254-e71ae1eae3bd,"2023-06-20 14:31:37"
89797,unknown,s.d.,,"Perdita coreopsidis","Cockerell, 1906",Perdita,coreopsidis,,,,,ce4a3446-750b-4ae6-9e77-ba8166653bc0,"2023-06-20 14:31:37"
