Bee,original entries,cleaned entries
Andrena astragali,643,69
Anthophora cockerelli,214,8
Anthophora porterae,540,105
Ashmeadiella bucconis,2338,383
Ashmeadiella opuntiae,1782,269
Calliopsis coloradensis,406,0
Calliopsis fracta,709,50
Calliopsis hesperia,26,2
Calliopsis rhodophila,352,123
Calliopsis zebrata,125,5
Calliopsis zonalis,38,8
Perdita callicerata,2720,293
Perdita cephalotes,997,40
Perdita coreopsidis,753,35
Perdita holoxantha,199,32
Perdita multiflorae,127,11
Perdita xanthochroa,654,66
