coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
770188,unknown,s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,db762831-9ca1-4c0a-9e44-a6042af286a6,"2023-06-20 14:31:37"
770189,unknown,s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,7dbfc232-c98a-4e90-9bb0-e4cbddc8701a,"2023-06-20 14:31:37"
770190,unknown,s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,2f558037-2397-4c55-a141-330fa54df93f,"2023-06-20 14:31:37"
770191,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,5f6b0647-d6f5-49d4-8ad0-dda1b193a1b8,"2023-06-20 14:31:37"
770192,unknown,s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,a3bd559d-f4e9-4146-ad3d-7e4555d9050a,"2023-06-20 14:31:37"
770193,unknown,s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,ae496290-b2af-4ef5-9b53-11fc0cb117e0,"2023-06-20 14:31:37"
770194,unknown,s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,7a358c2e-cb67-4e4f-8b70-a7a3745be638,"2023-06-20 14:31:37"
770195,unknown,s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,cd94a0e0-18f3-4dac-bc90-a0380ed68d24,"2023-06-20 14:31:37"
770196,"G.E. Bohart 1957",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,0d72bdb4-bbf5-4492-a885-26c5d98a5a59,"2023-06-20 14:31:37"
770197,"G.E. Bohart 1957",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,588d4751-d77a-44bf-b531-e2846135e3ca,"2023-06-20 14:31:37"
770198,"G.E. Bohart 1957",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,237688e0-2dc5-4120-a216-ea7c4f436a56,"2023-06-20 14:31:37"
770199,"G.E. Bohart 1957",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,e580cbe2-09da-4c30-8ea9-905f543d6996,"2023-06-20 14:31:37"
770200,"J.S. Ascher 1995",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,b9a0bce6-45a6-406e-a868-a468bc6a7698,"2023-06-20 14:31:37"
770201,"J.S. Ascher 1995",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,cf4a1866-7bd7-4e1e-91e1-806e0b4be049,"2023-06-20 14:31:37"
770202,"J.S. Ascher 1995",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,2d7a7526-a8a1-4b08-b5d2-d72e38449316,"2023-06-20 14:31:37"
770203,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,d04da871-c5f5-4f73-b3ad-76aa644ee506,"2023-06-20 14:31:37"
770204,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,e6e948c7-fb7c-41aa-bcd4-f0af784c6381,"2023-06-20 14:31:37"
770205,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,2a84c313-8396-4090-a907-b9b2c579d488,"2023-06-20 14:31:37"
770206,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,08c630e5-2393-4e9b-9993-3cfa284f8363,"2023-06-20 14:31:37"
770207,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,807ca6da-11b6-4f14-9825-66357a7f4e8c,"2023-06-20 14:31:37"
770208,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,8f2272d6-31e5-427f-ad80-d3b0515f3708,"2023-06-20 14:31:37"
770209,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,5d670ffc-6321-4666-a6ef-774fd8d0ba7c,"2023-06-20 14:31:37"
770210,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,e19f2836-55dd-428f-90ae-49f9833e7110,"2023-06-20 14:31:37"
770211,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,b9202372-08b0-4149-9b3f-5f573148131f,"2023-06-20 14:31:37"
770212,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,4848980c-7216-443e-9c54-0c5b29f3f083,"2023-06-20 14:31:37"
770213,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,619870a0-2316-4d69-b295-bf7b75d66dcd,"2023-06-20 14:31:37"
770214,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,14895134-e18b-4c10-a70c-aeb2fd9a1da9,"2023-06-20 14:31:37"
770215,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,704cafb8-7463-4065-a32e-fb9396c33132,"2023-06-20 14:31:37"
770216,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,aceeb19c-ff21-4b09-86e2-3778f6ef42be,"2023-06-20 14:31:37"
770217,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,61ff8952-743e-4c5c-a7de-c60743208e49,"2023-06-20 14:31:37"
770218,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,32f2c56b-6259-4554-b7d3-55ad6d3c6d4d,"2023-06-20 14:31:37"
770219,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,3aeb2555-5d28-4824-9e98-6be4899090b0,"2023-06-20 14:31:37"
770220,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,59a438d3-fbf0-489c-9c17-1f7e8410520a,"2023-06-20 14:31:37"
770221,"J.S. Ascher 1995",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,5144b4b7-4aa2-48bc-bf0a-38cbec57eca0,"2023-06-20 14:31:37"
770222,"J.S. Ascher 1995",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,7bdb5208-9673-412e-9dfe-f580255794ca,"2023-06-20 14:31:37"
770223,"J.S. Ascher 1965",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,82627516-f143-4275-9a65-97e869ceaa09,"2023-06-20 14:31:37"
770224,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,3ea3b88c-c394-4478-bc9d-18fd29dc7f71,"2023-06-20 14:31:37"
770225,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,5b0fb38e-955e-4eca-bc8b-6d810fb71c20,"2023-06-20 14:31:37"
770226,"J.S. Ascher 1966",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,dc5039df-eaad-4285-9180-fd4690ee15ca,"2023-06-20 14:31:37"
770227,"J.S. Ascher 1966",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,fb99b540-f147-4b70-a635-32f676869528,"2023-06-20 14:31:37"
770228,"J.S. Ascher 1963",s.d.,,"Calliopsis coloradensis","Cresson 1878",Calliopsis,coloradensis,,,,,b4e753fc-cc10-4a91-ba57-c28389f82793,"2023-06-20 14:31:37"
1591174,cory_silas_sheffield,2017-07-31T18:59:07,,"Calliopsis coloradensis","Cresson, 1878",Calliopsis,coloradensis,,,,,13ba7247-7e54-4be0-98f2-340fbdf8b0ea,"2023-06-20 14:31:37"
1617205,unknown,s.d.,,"Calliopsis coloradensis",Cresson,Calliopsis,coloradensis,,,,,6a972b70-30a6-4ada-8a1c-b4aa1116a2c0,"2023-06-20 14:31:37"
1673516,unknown,s.d.,,"Calliopsis coloradensis",Cresson,Calliopsis,coloradensis,,,,,5437236d-9f46-4582-9e79-978d00e7ba8e,"2023-06-20 14:31:37"
1717254,"J. S. Ascher",2006,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,c339f8b5-f8d9-487e-a924-ed7eac6efc97,"2023-06-20 14:31:37"
1717255,"J. S. Ascher",2006,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,8e8722ce-4255-4c4f-9a47-2fb53f2d5b82,"2023-06-20 14:31:37"
1717256,"J. S. Ascher",2006,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,12f1dfc9-e079-4b57-9400-85c3263cccbf,"2023-06-20 14:31:37"
1909450,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,5397a805-4ec4-4433-9826-d28ab6e02f03,"2023-06-20 14:31:37"
1909451,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,60db40b0-403b-456c-a167-0029d11d5342,"2023-06-20 14:31:37"
1909452,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,38635d7a-123f-4969-afec-dd63041e9de0,"2023-06-20 14:31:37"
1909453,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,384d8933-5cea-481f-b37e-9912a07a4049,"2023-06-20 14:31:37"
1909454,"A. F. Shinn",1963,,"Calliopsis coloradensis","Cresson,1878",Calliopsis,coloradensis,,,,,fc3949cd-5154-4748-8e16-53b7bed0ce10,"2023-06-20 14:31:37"
