id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,eventtime,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
108527,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,1a976051-1ed6-11e3-bfac-90b11c41863e,230723,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita (Procockerellia) excellens,46843,"Timberlake, 1958",Perdita,Perdita (Procockerellia),excellens,,,,,Species,"Griswold, T",,,,,,,Griswold & Parker,,1981-08-24,,1981.0,8.0,24.0,236.0,,08/24/1981,,,,,,,,,,,Stephanomeria exigua,,,adult,F,,,Pinned - 1,,Nearctic,,,,United States,,Utah,Emery,,"Little Gilson Butte, 2 mi E",,38.5922,-110.5658,,,,,,,,,1555.0,1555.0,,,,,,,,2010-10-18 04:17:38,https://creativecommons.org/publicdomain/zero/1.0/,,,dbecf61a-1c7e-4950-b9b0-a9068b9e4584,https://library.big-bee.net/portal/collections/individual/index.php?occid=108527
164537,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,2500bcc4-1ed6-11e3-bfac-90b11c41863e,230721,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita (Procockerellia) excellens,46843,"Timberlake, 1958",Perdita,Perdita (Procockerellia),excellens,,,,,Species,"Griswold, T",,,,,,,"Griswold, T",,1987-09-23,,1987.0,9.0,23.0,266.0,,09/23/1987,,,,,,US.CA.GriswoldT1987.09.23 001,,,,,,,,adult,F,,,Pinned - 1,,Nearctic,,,,United States,,California,Inyo,,"Keeler, 10 mi SE",,36.385,-117.7461,,,,,,,,,1372.0,1372.0,,,,,,,,2010-10-18 05:18:09,https://creativecommons.org/publicdomain/zero/1.0/,,,b673cd7f-0d3b-4adf-968d-eb80078515c6,https://library.big-bee.net/portal/collections/individual/index.php?occid=164537
1103745,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,659092303,139235,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita cephalotes,2532,"(Cresson, 1878)",Perdita,,cephalotes,,,,,Species,T.L. Griswold 2000,,,,,,,T.L. Griswold,,1987-09-23,,1987.0,9.0,23.0,266.0,,1987-9-23,,,,,,,,,,,,,,,,,,,,,,,,United States,,California,Inyo,,"Keeler, 10 mi SE",,36.36106,-117.78434,,,"36.36106, -117.78434",,,,,,1371.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,e7d5fb85-870f-4a78-bfab-a2ad443dc9b1,https://library.big-bee.net/portal/collections/individual/index.php?occid=1103745
1103755,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,659092313,139231,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita cephalotes,2532,"(Cresson, 1878)",Perdita,,cephalotes,,,,,Species,T.L. Griswold 2000,,,,,,,T.L. Griswold,,1987-10-24,,1987.0,10.0,24.0,297.0,,1987-10-24,,,,,,,,,,,,,,,,,,,,,,,,United States,,California,SanBernardino,,Valley Wells,,35.4585,-115.6903,,,"35.45850, -115.69030",,,,,,1112.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,037eac26-2566-4e0c-9b7e-9c72326dd792,https://library.big-bee.net/portal/collections/individual/index.php?occid=1103755
1104139,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,659092674,139242,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita cephalotes,2532,"(Cresson, 1878)",Perdita,,cephalotes,,,,,Species,T.L. Griswold 2000,,,,,,,W.P. Nye,,1985-09-21,,1985.0,9.0,21.0,264.0,,1985-9-21,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Wayne,,Capitol Reef National Park,,38.15,-111.1667,,,"38.15000, -111.16670",,,,,,,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,159f8e80-a32d-453d-a82c-86fbee60441a,https://library.big-bee.net/portal/collections/individual/index.php?occid=1104139
1168623,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,767231844,BBSL846350,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita excellens,46843,"Timberlake, 1958",Perdita,Perdita (Procockerellia),excellens,,,,,Species,T.L. Griswold 1990,,,,,,,T.L. Griswold,,1987-09-24,,1987.0,9.0,24.0,267.0,,1987-9-24,,,,,,,,,,,,,,,,,,,,,,,,United States,,California,SanBernardino,,Valley Wells,,35.4585,-115.6903,,,"35.45850, -115.69030",,,,,,1112.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,f6e10c01-1cfc-478c-b02d-faa4c782edbc,https://library.big-bee.net/portal/collections/individual/index.php?occid=1168623
2431954,USDA-ARS,BBSL-4,BBSL,7bd0e288-6047-4a68-989d-b1afd6a04414,preservedspecimen,urn:catalog:USDA-ARS:BBSL:BBSL496593,BBSL496593,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita cephalotes,2532,"(Cresson, 1878)",Perdita,,cephalotes,,,,,Species,S.M. Higbee 2005,,,Perdita (Xeromacrotera) cephalotes,,,,O.J. Messinger,,2003-09-25,,2003.0,9.0,25.0,268.0,,25 Sep 2003,,,,,,,no,none,,,Collected from: Chrysothamnus viscidiflorus,,,,Female,1.0,,,,,,,,USA,,Utah,Kane,,,,37.1945,-111.5984,WGS84,,,,,,,,1448.0,,,,,,,en,,2026-05-05 14:00:38,http://creativecommons.org/licenses/by-nc/4.0/,"USDA-ARS Pollinating Insect-Biology, Management, Systematics Research",,eb55e4bf-953c-4c6c-92ff-865aeaa0467f,https://library.big-bee.net/portal/collections/individual/index.php?occid=2431954
2432012,USDA-ARS,BBSL-4,BBSL,7bd0e288-6047-4a68-989d-b1afd6a04414,preservedspecimen,urn:catalog:USDA-ARS:BBSL:BBSL464005,BBSL464005,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita cephalotes,2532,"(Cresson, 1878)",Perdita,,cephalotes,,,,,Species,S.M. Higbee 2005,,,Perdita (Xeromacrotera) cephalotes,,,,L. Topham,,2002-10-01,,2002.0,10.0,1.0,274.0,,1 Oct 2002,,,,,,,no,none,,,Collected from: Chrysothamnus linifolius,,,,Male,1.0,,,,,,,,USA,,Utah,Kane,,,,37.189,-111.5368,WGS84,,,,,,,,1340.0,,,,,,,en,,2026-05-05 14:00:38,http://creativecommons.org/licenses/by-nc/4.0/,"USDA-ARS Pollinating Insect-Biology, Management, Systematics Research",,7e25b72e-17ba-4d4d-9a16-38b917d96ae4,https://library.big-bee.net/portal/collections/individual/index.php?occid=2432012
2432080,USDA-ARS,BBSL-4,BBSL,7bd0e288-6047-4a68-989d-b1afd6a04414,preservedspecimen,urn:catalog:USDA-ARS:BBSL:BBSL457805,BBSL457805,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita cephalotes,2532,"(Cresson, 1878)",Perdita,,cephalotes,,,,,Species,S.M. Higbee 2005,,,Perdita (Xeromacrotera) cephalotes,,,,H. Ikerd,,2002-10-10,,2002.0,10.0,10.0,283.0,,10 Oct 2002,,,,,,,no,none,,,Collected from: Chrysothamnus viscidiflorus,,,,Female,1.0,,,,,,,,USA,,Utah,Kane,,,,37.441,-111.2307,WGS84,,,,,,,,1487.0,,,,,1475.0,,en,,2026-05-05 14:00:38,http://creativecommons.org/licenses/by-nc/4.0/,"USDA-ARS Pollinating Insect-Biology, Management, Systematics Research",,6cb2a20f-b212-44c8-8e4b-aef4d64939ff,https://library.big-bee.net/portal/collections/individual/index.php?occid=2432080
2432182,USDA-ARS,BBSL-4,BBSL,7bd0e288-6047-4a68-989d-b1afd6a04414,preservedspecimen,urn:catalog:USDA-ARS:BBSL:BBSL451014,BBSL451014,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita cephalotes,2532,"(Cresson, 1878)",Perdita,,cephalotes,,,,,Species,S.M. Higbee 2005,,,Perdita (Xeromacrotera) cephalotes,,,,L. Wilson,,2002-09-26,,2002.0,9.0,26.0,269.0,,26 Sep 2002,,,,,,,no,none,,,Collected from: Chrysothamnus viscidiflorus,,,,Female,1.0,,,,,,,,USA,,Utah,Kane,,,,37.3811,-111.1126,WGS84,,,,,,,,1414.0,,,,,1405.0,,en,,2026-05-05 14:00:38,http://creativecommons.org/licenses/by-nc/4.0/,"USDA-ARS Pollinating Insect-Biology, Management, Systematics Research",,64c5e083-bef4-47ed-b946-ac681f5e1566,https://library.big-bee.net/portal/collections/individual/index.php?occid=2432182
