id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,eventtime,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
1053472,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,659040281,3151,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita xanthochroa,20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,,,,,,,,D.K. Broemeling,,1985-05-28,,1985.0,5.0,28.0,148.0,,1985-5-28,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Emery,,"Little Gilson Butte, 3.2 air mi NE",,38.6299,-110.568,,,"38.62990, -110.56800",,,,,,1554.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,b7827dd7-1032-418f-9916-a96395375b83,https://library.big-bee.net/portal/collections/individual/index.php?occid=1053472
1053475,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,659040284,3129,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita xanthochroa,20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,,,,,,,,"D.R. Frohlich, D.F. Veirs",,1982-06-02,,1982.0,6.0,2.0,153.0,,1982-6-2,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Emery,,"Buckskin Spring, N Goblin Valley",,38.62,-110.6733,,,"38.62000, -110.67330",,,,,,1554.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,a712d1e1-e3c3-42cc-b28e-0d271fad5568,https://library.big-bee.net/portal/collections/individual/index.php?occid=1053475
1053482,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,659040291,36964,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita xanthochroa,20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,,,,,,,,T.L. Griswold,,1991-06-03,,1991.0,6.0,3.0,154.0,,1991-6-3,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Emery,,"Big Flat Top, NE",,38.5197,-110.4463,,,"38.51970, -110.44630",,,,,,1630.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,a4aee98e-7388-4e6c-b1a0-5b1d56b11b2d,https://library.big-bee.net/portal/collections/individual/index.php?occid=1053482
1053486,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,659040295,36962,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita xanthochroa,20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,,,,,,,,T.L. Griswold,,1992-05-14,,1992.0,5.0,14.0,135.0,,1992-5-14,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Emery,,"Big Flat Top, NE",,38.5197,-110.4463,,,"38.51970, -110.44630",,,,,,1630.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,b7e71794-4f55-4f62-8d2f-3caa317ba817,https://library.big-bee.net/portal/collections/individual/index.php?occid=1053486
1053488,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,659040297,3096,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita xanthochroa,20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,,,,,,,,T.L. Griswold,,1983-06-14,,1983.0,6.0,14.0,165.0,,1983-6-14,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Emery,,"Buckskin Spring, 2 air mi NNE",,38.6467,-110.6596,,,"38.64670, -110.65960",,,,,,1600.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,8a1df95d-76dc-4f70-b183-5d72ba8c2599,https://library.big-bee.net/portal/collections/individual/index.php?occid=1053488
1053490,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,659040299,3177,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita xanthochroa,20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,,,,,,,,T.L. Griswold,,1982-07-27,,1982.0,7.0,27.0,208.0,,1982-7-27,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Emery,,"Little Gilson Butte, 0.5 air mi NE",,38.596,-110.5929,,,"38.59600, -110.59290",,,,,,1539.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,c645cca1-aa52-455f-9811-688ec14e037f,https://library.big-bee.net/portal/collections/individual/index.php?occid=1053490
1053497,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,659040306,36966,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita xanthochroa,20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,,,,,,,,T.L. Griswold,,1991-05-30,,1991.0,5.0,30.0,150.0,,1991-5-30,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Emery,,"Little Gilson Butte, 3.2 air mi NE",,38.6299,-110.568,,,"38.62990, -110.56800",,,,,,1554.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,b33af237-d45d-46bb-9c8b-0225f1979959,https://library.big-bee.net/portal/collections/individual/index.php?occid=1053497
1053498,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,659040307,36971,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita xanthochroa,20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,,,,,,,,T.L. Griswold,,1991-06-13,,1991.0,6.0,13.0,164.0,,1991-6-13,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Emery,,"Little Gilson Butte, near",,38.58,-110.59,,,"38.58000, -110.59000",,,,,,1554.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,a4845c12-8145-42ce-9d69-f9e70fafea5c,https://library.big-bee.net/portal/collections/individual/index.php?occid=1053498
1053503,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,659040312,36940,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita xanthochroa,20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,,,,,,,,T.L. Griswold,,1991-05-29,,1991.0,5.0,29.0,149.0,,1991-5-29,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Emery,,San Rafael Desert,,38.8555,-110.4231,,,"38.85550, -110.42310",,,,,,1310.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,775aaaa7-68cc-40b4-b4f5-93c11300fe8b,https://library.big-bee.net/portal/collections/individual/index.php?occid=1053503
1053524,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,659040333,36957,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Perdita xanthochroa,20295,"Timberlake, 1960",Perdita,,xanthochroa,,,,,Species,,,,,,,,T.L. Griswold,,1991-06-03,,1991.0,6.0,3.0,154.0,,1991-6-3,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Emery,,San Rafael Desert,,38.8555,-110.4231,,,"38.85550, -110.42310",,,,,,1310.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,02c49d89-22ab-46e2-b570-04165808aeb1,https://library.big-bee.net/portal/collections/individual/index.php?occid=1053524
