id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,cultivarEpithet,tradeName,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,eventtime,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
249004,KU,SEMC,,903ba65e-8420-4ffd-9dac-1215e88eb98b,PreservedSpecimen,3dc4899f-1ed6-11e3-bfac-90b11c41863e,383145,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Calliopsis (Nomadopsis) zonalis,2093,"Cresson, 1879",Calliopsis,,zonalis,,,,,Species,"Rozen, Jerome",,,,,,,"Salsbury, Glenn",,1999-05-29,,1999.0,5.0,29.0,149.0,,05/29/1999,,,,,,US.KS.SalsburyG1999.05.29 008,,,,,,,,adult,F,,,Pinned - 1,,Nearctic,,,,United States,,Kansas,Barber,,"Medicine Lodge, 9 mi W, Scenic Overlook",,37.2811,-98.7435,,,,,,,,,,,,,,,,,,2011-07-12 02:01:45,https://creativecommons.org/publicdomain/zero/1.0/,,,05d643fc-d31c-4b8b-900b-f78c1b749e47,https://library.big-bee.net/portal/collections/individual/index.php?occid=249004
769929,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658703291,160208,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Calliopsis zonalis,2093,"Cresson, 1879",Calliopsis,,zonalis,,,,,Species,,,,,,,,T.L. Griswold,,1996-05-22,,1996.0,5.0,22.0,143.0,,1996-5-22,,,,,,,,,,,,,,,,,,,,,,,,United States,,California,Fresno,,Los Gatos Creek,,36.22217,-120.12458,,,"36.22217, -120.12458",,,,,,,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,292301ad-0afb-42c4-ac47-d852a86ecbbc,https://library.big-bee.net/portal/collections/individual/index.php?occid=769929
769934,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658703296,127451,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Calliopsis zonalis,2093,"Cresson, 1879",Calliopsis,,zonalis,,,,,Species,,,,,,,,"M. Schwartz, R.E. Miller",,1981-07-06,,1981.0,7.0,6.0,187.0,,1981-7-6,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Uintah,,"Bonanza, SW1",,40.0159,-109.1797,,,"40.01590, -109.17970",,,,,,1524.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,5a654987-7679-49bd-886a-98a6c6005f9d,https://library.big-bee.net/portal/collections/individual/index.php?occid=769934
769935,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658703297,127429,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Calliopsis zonalis,2093,"Cresson, 1879",Calliopsis,,zonalis,,,,,Species,,,,,,,,"M. Schwartz, R.E. Miller",,1981-06-12,,1981.0,6.0,12.0,163.0,,1981-6-12,,,,,,,,,,,,,,,,,,,,,,,,United States,,Utah,Uintah,,"Bonanza, SW1",,40.0159,-109.1797,,,"40.01590, -109.17970",,,,,,1524.0,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,7218839e-073d-41d0-a59f-950357bb6f16,https://library.big-bee.net/portal/collections/individual/index.php?occid=769935
769939,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658703301,KWC0013030,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Calliopsis zonalis,2093,"Cresson, 1879",Calliopsis,,zonalis,,,,,Species,,,,,,,,K.W. Cooper,,1980-09-03,,1980.0,9.0,3.0,247.0,,1980-9-3,,,,,,,,,,,,,,,,,,,,,,,,United States,,California,Riverside,,Mount San Jacinto,,33.7475,-116.7139,,,"33.74750, -116.71390",,,,,,,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,c36dd292-d533-482f-b3a2-00cca6c97d90,https://library.big-bee.net/portal/collections/individual/index.php?occid=769939
777436,USDA-ARS,BBSL,,8011f62e-ea94-4fcd-b545-9ad1060d1a3f,PreservedSpecimen,658710644,113812,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Calliopsis zonalis zonalis,2095,"Cresson, 1879",Calliopsis,,zonalis,,,,,Subspecies,,,,,,,,"D.F. Veirs, F.D. Parker",,1994-06-16,,1994.0,6.0,16.0,167.0,,1994-6-16,,,,,,,,,,,,,,,,,,,,,,,,United States,,California,Ventura,,"Apache Canyon, 8 km E Cuyama Valley",,34.7724,-119.3526,,,"34.77240, -119.35260",,,,,,,,,,,,,,,2023-06-20 14:37:21,http://creativecommons.org/licenses/by/4.0/,,,85f51006-8206-4846-b3c8-40997ccafc66,https://library.big-bee.net/portal/collections/individual/index.php?occid=777436
1259425,iNat,,,718754c5-cede-48e8-b5f4-1961708533dd,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/77329109,77329109,,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Calliopsis zonalis,2093,"Cresson, 1879",Calliopsis,,zonalis,,,,,Species,Keng-Lou James Hung,2021-05-04T19:28:56,,,,,,Keng-Lou James Hung,,2013-07-19,,2013.0,7.0,19.0,200.0,,2013/07/19 1:55 PM EDT,"A pair of Calliopsis zonalis mating on their host plant, Monardella lanceolata.",,,,,,,,,,,,,,,,,,,,,,,United States,US,California,,,,,33.3473,-116.908,,500.0,,,,,,,,,,,,,,,,2021-07-29 15:54:27,http://creativecommons.org/publicdomain/zero/1.0/,,,9c1c8c58-e5fa-4aa5-8a19-88ec7128b9c3,https://library.big-bee.net/portal/collections/individual/index.php?occid=1259425
2301222,SDNHM,SDC,,90003559-9508-4977-a53d-b69618269249,PreservedSpecimen,,11023,SDC Bees,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Calliopsis zonalis,2093,"Cresson, 1879",Calliopsis,,zonalis,,,,,Species,,,,,,,,KJ Hung,,2014-07-09,,2014.0,7.0,9.0,190.0,,7/9/2014,,,,,,,,,,,,,,,M,,ex. Monardella lanceolata,,,,,,,United States,,California,San Diego,,Palomar,,33.3323,-116.8916,,,"N33.3323, W116.8916",,,,,,,,,,,,Given to Laurence Packer,,,2023-09-14 17:22:41,http://creativecommons.org/licenses/by/4.0/,Regents of the University of California,,bbccf4d3-73f8-40d5-bb25-88c3b8db76ef,https://library.big-bee.net/portal/collections/individual/index.php?occid=2301222
