coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
1066216,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,739cf6c8-e043-461f-af47-8633ed5da0c8,"2023-04-27 19:14:40"
1066217,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,43afaaa7-38c8-4ecc-a099-2a1978bac3a1,"2023-04-27 19:14:40"
1066218,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,95e19a2a-ffff-4b79-b7ef-15db9167f039,"2023-04-27 19:14:40"
1066219,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,000a8767-4cf8-49fb-b72c-4dfc384a4626,"2023-04-27 19:14:40"
1066220,Timberlake,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,19580f81-44bc-4999-ab25-b4ea3b4f0240,"2023-04-27 19:14:40"
1066248,Timberlake,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,548b6296-eb48-44c5-9a72-b64aa8863ece,"2023-04-27 19:14:40"
1066258,Timberlake,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,dbee219b-9382-4c83-81bc-06ceaa646726,"2023-04-27 19:14:40"
1066259,Timberlake,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,8d049fde-b1a0-4b60-a0ee-da6f2559417c,"2023-04-27 19:14:40"
1066295,Timberlake,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,4556a3d7-2332-4468-957c-be606cee334b,"2023-04-27 19:14:40"
1066296,Timberlake,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,ce90237d-f8b4-49dc-8c3b-7bfcc93eb192,"2023-04-27 19:14:40"
1066297,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,8017b69e-574b-445d-9a90-fb890e355b04,"2023-04-27 19:14:40"
1066298,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,6dda8e36-6b76-45ef-a6d5-d08e7468810d,"2023-04-27 19:14:40"
1066310,"RR Snelling",s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,332a496d-98f7-4208-afa3-bc92c69dbeba,"2023-04-27 19:14:40"
1066311,"RR Snelling",s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,06a2d6a2-c7ab-42ac-a076-e468cc58815f,"2023-04-27 19:14:40"
1066312,"RR Snelling",s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,51869a24-6a00-43bf-9b34-ff1bc017d5c0,"2023-04-27 19:14:40"
1066313,"RR Snelling",s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,7d1cf325-6c06-41a5-b45c-4b7c480f7fbe,"2023-04-27 19:14:40"
1066314,"RR Snelling",s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,c3cc40d5-6fff-4b84-9ca8-2c4c791dde30,"2023-04-27 19:14:40"
1066330,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,1527cfd3-2a7e-4599-bf31-28f37f8ac6a8,"2023-04-27 19:14:40"
1066331,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,33ac36e3-212e-4226-a043-c40d2f024d73,"2023-04-27 19:14:40"
1066332,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,98e8e5a1-fcce-4219-ac72-1f69819bca2c,"2023-04-27 19:14:40"
1066343,Timberlake,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,4a616ea2-790f-4fd4-92f3-6bbb9d70e414,"2023-04-27 19:14:40"
1066344,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,b552ded5-3a87-4749-be2a-8a04ac731e32,"2023-04-27 19:14:40"
1066345,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,af7b76ca-6a61-4e10-86ff-e9902e60b9e9,"2023-04-27 19:14:40"
1066413,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,7198c04e-4d99-4a16-8cdc-f30834c69fe7,"2023-04-27 19:14:40"
1066426,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,2f7e6481-8d68-4844-8be5-ef276618cb7e,"2023-04-27 19:14:40"
1066427,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,7e3cddb7-fa0d-4912-b716-79cab7e5afcf,"2023-04-27 19:14:40"
1066428,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,7fb8cc5e-c418-471b-916a-880f9449b264,"2023-04-27 19:14:40"
1066977,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,1ea3a67a-d5e1-40e9-891c-ffeb70654f3c,"2023-04-27 19:14:40"
1066978,Timberlake,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,718b21fe-3681-484e-af87-46f80730721c,"2023-04-27 19:14:40"
1066979,Timberlake,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,cb34abb1-b4d0-4441-8869-b32cb408a805,"2023-04-27 19:14:40"
1066980,Timberlake,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,6a2f33c9-9b4c-4f3c-87f2-c70c70b42e9e,"2023-04-27 19:14:40"
1066981,Timberlake,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,726d01a8-340b-4794-8eb5-27515dc5e8c0,"2023-04-27 19:14:40"
1066982,unknown,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,68ae4d4d-9abc-463a-9881-a9c2a19d74e6,"2023-04-27 19:14:40"
1066983,Timberlake,s.d.,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,,e1d1395a-be5c-48c0-b894-68239043bfde,"2023-04-27 19:14:40"
1067961,unknown,s.d.,,Perdita,"Smith, 1853",Perdita,,,,,,37f0ba4d-1a38-4f14-98f4-0ff384ac684e,"2023-04-27 19:14:40"
1084518,"J.S. Ascher",17-Dec-06,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,Hexaperdita,71c81f7a-4cdf-4db0-a7c9-1c38e3cf79ad,"2023-04-27 19:14:40"
1084519,"Robert L. Minckley",10-Jan-08,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,Hexaperdita,c8e215a2-416f-4715-a0a9-6607c382341f,"2023-04-27 19:14:40"
1084520,"Robert L. Minckley",10-Jan-08,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,Hexaperdita,dd1ca993-68c3-4fdc-aeb9-858eb45a44d5,"2023-04-27 19:14:40"
1084521,"Robert L. Minckley",10-Jan-08,,"Perdita callicerata","Cockerell, 1897",Perdita,callicerata,,,,Hexaperdita,9461e77a-331e-4519-b6a7-f6549b9e1dc2,"2023-04-27 19:14:40"
