coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,format,type,subtype,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,tag,providerManagedID,MetadataDate,associatedSpecimenReference,metadataLanguage
857437,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_3x_had_lg.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_3x_had_lg.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_3x_had_tn.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_3x_had.jpg,image/jpeg,StillImage,Photograph,https://creativecommons.org/publicdomain/zero/1.0/,"University of California Santa Barbara Invertebrate Zoology Collection",,"CC0 1.0 (Public-domain)",https://www.ccber.ucsb.edu/collections/databases-searching-specimen-data-and-images,,,,urn:uuid:ffefc5d5-b033-4fdf-a175-c0fad156b4b5,"2022-10-31 15:50:45",https://ecdysis.org/collections/individual/index.php?occid=857437,en
857437,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_4x_had_lg.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_4x_had_lg.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_4x_had_tn.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_4x_had.jpg,image/jpeg,StillImage,Photograph,https://creativecommons.org/publicdomain/zero/1.0/,"University of California Santa Barbara Invertebrate Zoology Collection",,"CC0 1.0 (Public-domain)",https://www.ccber.ucsb.edu/collections/databases-searching-specimen-data-and-images,,,,urn:uuid:26f425c9-6046-4410-9697-f78ed4244b18,"2022-10-31 15:50:49",https://ecdysis.org/collections/individual/index.php?occid=857437,en
857437,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_4x_hal_lg.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_4x_hal_lg.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_4x_hal_tn.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_4x_hal.jpg,image/jpeg,StillImage,Photograph,https://creativecommons.org/publicdomain/zero/1.0/,"University of California Santa Barbara Invertebrate Zoology Collection",,"CC0 1.0 (Public-domain)",https://www.ccber.ucsb.edu/collections/databases-searching-specimen-data-and-images,,,,urn:uuid:93714d9a-7067-45d7-8952-6ffaf12c95bf,"2022-10-31 15:50:53",https://ecdysis.org/collections/individual/index.php?occid=857437,en
857437,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_5x_hef_lg.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_5x_hef_lg.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_5x_hef_tn.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_5x_hef.jpg,image/jpeg,StillImage,Photograph,https://creativecommons.org/publicdomain/zero/1.0/,"University of California Santa Barbara Invertebrate Zoology Collection",,"CC0 1.0 (Public-domain)",https://www.ccber.ucsb.edu/collections/databases-searching-specimen-data-and-images,,,,urn:uuid:c85e8c8c-706f-4a14-b2cc-a964ab03ecfb,"2022-10-31 15:50:56",https://ecdysis.org/collections/individual/index.php?occid=857437,en
855001,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_3x_had_lg.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_3x_had_lg.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_3x_had_tn.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_3x_had.jpg,image/jpeg,StillImage,Photograph,https://creativecommons.org/publicdomain/zero/1.0/,"University of California Santa Barbara Invertebrate Zoology Collection",,"CC0 1.0 (Public-domain)",https://www.ccber.ucsb.edu/collections/databases-searching-specimen-data-and-images,,,,urn:uuid:0266bc10-d8f6-49c1-a106-c43e3610fdd4,"2022-10-31 16:05:12",https://ecdysis.org/collections/individual/index.php?occid=855001,en
855001,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_3x_hal_lg.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_3x_hal_lg.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_3x_hal_tn.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_3x_hal.jpg,image/jpeg,StillImage,Photograph,https://creativecommons.org/publicdomain/zero/1.0/,"University of California Santa Barbara Invertebrate Zoology Collection",,"CC0 1.0 (Public-domain)",https://www.ccber.ucsb.edu/collections/databases-searching-specimen-data-and-images,,,,urn:uuid:0f6d7dd5-0952-4e79-b2bf-b9b25aafdb8b,"2022-10-31 16:05:16",https://ecdysis.org/collections/individual/index.php?occid=855001,en
855001,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_5x_hef_lg.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_5x_hef_lg.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_5x_hef_tn.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_5x_hef.jpg,image/jpeg,StillImage,Photograph,https://creativecommons.org/publicdomain/zero/1.0/,"University of California Santa Barbara Invertebrate Zoology Collection",,"CC0 1.0 (Public-domain)",https://www.ccber.ucsb.edu/collections/databases-searching-specimen-data-and-images,,,,urn:uuid:4e8ddf17-1507-41e2-acb8-df53392d5184,"2022-10-31 16:05:21",https://ecdysis.org/collections/individual/index.php?occid=855001,en
1698714,https://media01.symbiota.org/media/scan/misc/202207/SDNHM247631_had_lbs.JPG,https://media01.symbiota.org/media/scan/misc/202207/SDNHM247631_had_lbs.JPG,https://media01.symbiota.org/media/scan/misc/202207/SDNHM247631_had_lbs_tn.jpg,https://media01.symbiota.org/media/scan/misc/202207/SDNHM247631_had_lbs_lg.jpg,image/jpeg,StillImage,Photograph,,"San Diego Natural History Museum Entomology Department (SDNHM-SDNHM)",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:333be933-3614-4c2a-ae66-61be89059f81,"2023-06-07 16:53:09",https://ecdysis.org/collections/individual/index.php?occid=1698714,en
1698715,https://media01.symbiota.org/media/scan/misc/202207/SDNHM247632_had_lbs.JPG,https://media01.symbiota.org/media/scan/misc/202207/SDNHM247632_had_lbs.JPG,https://media01.symbiota.org/media/scan/misc/202207/SDNHM247632_had_lbs_tn.jpg,https://media01.symbiota.org/media/scan/misc/202207/SDNHM247632_had_lbs_lg.jpg,image/jpeg,StillImage,Photograph,,"San Diego Natural History Museum Entomology Department (SDNHM-SDNHM)",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:990e02a1-8a37-448d-a34c-a27210b2c6aa,"2023-06-07 16:53:09",https://ecdysis.org/collections/individual/index.php?occid=1698715,en
1467497,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1153/UAIC1153659_labels_dorsal_lg.jpg,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1153/UAIC1153659_labels_dorsal_lg.jpg,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1153/UAIC1153659_labels_dorsal_tn.jpg,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1153/UAIC1153659_labels_dorsal.jpg,image/jpeg,StillImage,Photograph,,"University of Arizona Insect Collection",,"CC BY-NC (Attribution-NonCommercial)",http://creativecommons.org/licenses/by-nc/4.0/,,,,urn:uuid:367248f4-5414-46bb-9452-ad2d4b814e86,"2023-07-03 16:00:18",https://ecdysis.org/collections/individual/index.php?occid=1467497,en
1711438,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1155/UAIC1155520_labels_dorsal.jpg,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1155/UAIC1155520_labels_dorsal.jpg,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1155/UAIC1155520_labels_dorsal_tn.jpg,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1155/UAIC1155520_labels_dorsal.jpg,image/jpeg,StillImage,Photograph,,"University of Arizona Insect Collection",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:482fb106-a8f7-49ae-abf0-b884580d6702,"2023-07-03 16:01:12",https://ecdysis.org/collections/individual/index.php?occid=1711438,en
1711437,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1155/UAIC1155519_labels_dorsal_lg.jpg,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1155/UAIC1155519_labels_dorsal_lg.jpg,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1155/UAIC1155519_labels_dorsal_tn.jpg,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1155/UAIC1155519_labels_dorsal.jpg,image/jpeg,StillImage,Photograph,,"University of Arizona Insect Collection",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:c42dedda-d17e-4ee5-bdc8-7337f5a09b54,"2023-07-03 16:01:29",https://ecdysis.org/collections/individual/index.php?occid=1711437,en
1711436,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1155/UAIC1155518_labels_dorsal.jpg,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1155/UAIC1155518_labels_dorsal.jpg,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1155/UAIC1155518_labels_dorsal_tn.jpg,https://media01.symbiota.org/media/ecdysis/UA_UAIC/UAIC1155/UAIC1155518_labels_dorsal.jpg,image/jpeg,StillImage,Photograph,,"University of Arizona Insect Collection",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:f306a982-ed82-4cf6-bcf1-08d6fb019243,"2023-07-03 16:03:01",https://ecdysis.org/collections/individual/index.php?occid=1711436,en
857437,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_had_lbs.JPG,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_had_lbs.JPG,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_had_lbs_tn.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004042_had_lbs00004042.jpg,image/jpeg,StillImage,Photograph,https://creativecommons.org/publicdomain/zero/1.0/,"University of California Santa Barbara Invertebrate Zoology Collection",,"CC0 1.0 (Public-domain)",https://www.ccber.ucsb.edu/collections/databases-searching-specimen-data-and-images,,,,urn:uuid:dd757c56-380a-45fb-8548-499278684244,"2024-01-04 15:02:31",https://ecdysis.org/collections/individual/index.php?occid=857437,en
855001,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_had_lbs.JPG,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_had_lbs.JPG,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_had_lbs_tn.jpg,https://media01.symbiota.org/media/ecdysis/UCSB_IZC/UCSB-IZC00036/UCSB-IZC00036833_had_lbs00036833.jpg,image/jpeg,StillImage,Photograph,https://creativecommons.org/publicdomain/zero/1.0/,"University of California Santa Barbara Invertebrate Zoology Collection",,"CC0 1.0 (Public-domain)",https://www.ccber.ucsb.edu/collections/databases-searching-specimen-data-and-images,,,,urn:uuid:96b81a83-de18-4002-b02f-472968a4e4aa,"2024-01-04 15:21:31",https://ecdysis.org/collections/individual/index.php?occid=855001,en
