coreid,identifier,title,format,recordID,initialTimestamp
2305598,NULL,,,,"2026-04-21 14:11:54"
2305727,NULL,,,,"2026-04-21 14:11:54"
2306074,NULL,,,,"2026-04-21 14:11:54"
2306161,NULL,,,,"2026-04-21 14:11:54"
2306550,NULL,,,,"2026-04-21 14:11:54"
2306776,NULL,,,,"2026-04-21 14:11:54"
2306921,NULL,,,,"2026-04-21 14:11:54"
2306973,NULL,,,,"2026-04-21 14:11:54"
2307019,NULL,,,,"2026-04-21 14:11:54"
2307201,NULL,,,,"2026-04-21 14:11:54"
2307225,NULL,,,,"2026-04-21 14:11:54"
2307269,NULL,,,,"2026-04-21 14:11:54"
2307681,NULL,,,,"2026-04-21 14:11:54"
2307802,NULL,,,,"2026-04-21 14:11:54"
2307911,NULL,,,,"2026-04-21 14:11:54"
2308422,NULL,,,,"2026-04-21 14:11:54"
2308462,NULL,,,,"2026-04-21 14:11:54"
2308603,NULL,,,,"2026-04-21 14:11:54"
2309060,NULL,,,,"2026-04-21 14:11:54"
2309128,NULL,,,,"2026-04-21 14:11:54"
2312083,NULL,,,,"2026-04-21 14:11:54"
2312768,NULL,,,,"2026-04-21 14:11:54"
2312846,NULL,,,,"2026-04-21 14:11:54"
2313198,NULL,,,,"2026-04-21 14:11:54"
2314142,NULL,,,,"2026-04-21 14:11:54"
2314216,NULL,,,,"2026-04-21 14:11:54"
2314741,NULL,,,,"2026-04-21 14:11:54"
2323510,NULL,,,,"2026-04-21 14:11:54"
2328090,NULL,,,,"2026-04-21 14:11:54"
2328123,NULL,,,,"2026-04-21 14:11:54"
2328669,NULL,,,,"2026-04-21 14:11:54"
2332656,NULL,,,,"2026-04-21 14:11:54"
2332732,NULL,,,,"2026-04-21 14:11:54"
2332755,NULL,,,,"2026-04-21 14:11:54"
2432290,NULL,,,,"2026-04-21 14:11:54"
2434307,NULL,,,,"2026-04-21 14:11:54"
2434611,NULL,,,,"2026-04-21 14:11:54"
2437373,NULL,,,,"2026-04-21 14:11:55"
2445071,NULL,,,,"2026-04-21 14:11:55"
2446108,NULL,,,,"2026-04-21 14:11:55"
2448445,NULL,,,,"2026-04-21 14:11:55"
2448446,NULL,,,,"2026-04-21 14:11:55"
2450433,NULL,,,,"2026-04-21 14:11:55"
2450731,NULL,,,,"2026-04-21 14:11:55"
2456556,NULL,,,,"2026-04-21 14:11:55"
2459604,NULL,,,,"2026-04-21 14:11:55"
2459872,NULL,,,,"2026-04-21 14:11:55"
2462925,NULL,,,,"2026-04-21 14:11:55"
2463111,NULL,,,,"2026-04-21 14:11:55"
2478239,NULL,,,,"2026-04-21 14:11:55"
2479550,NULL,,,,"2026-04-21 14:11:55"
2480903,NULL,,,,"2026-04-21 14:11:55"
4378718,GOGA-04002,,,,"2026-02-12 20:24:02"
4378719,GOGA-04002,,,,"2026-02-12 20:24:02"
4378722,GOGA-04002,,,,"2026-02-12 20:24:02"
4378729,GOGA-04002,,,,"2026-02-12 20:24:02"
4378730,GOGA-04002,,,,"2026-02-12 20:24:02"
4378734,GOGA-04002,,,,"2026-02-12 20:24:02"
4378735,GOGA-04002,,,,"2026-02-12 20:24:02"
4379034,GOGA-04002,,,,"2026-02-12 20:24:02"
4379192,GOGA-04002,,,,"2026-02-12 20:24:02"
4379197,GOGA-04002,,,,"2026-02-12 20:24:02"
4379200,GOGA-04002,,,,"2026-02-12 20:24:02"
4379201,GOGA-04002,,,,"2026-02-12 20:24:02"
4379210,GOGA-04002,,,,"2026-02-12 20:24:02"
4379218,GOGA-04002,,,,"2026-02-12 20:24:02"
4379224,GOGA-04002,,,,"2026-02-12 20:24:02"
4379265,GOGA-04002,,,,"2026-02-12 20:24:02"
4379266,GOGA-04002,,,,"2026-02-12 20:24:02"
4379457,GOGA-04002,,,,"2026-02-12 20:24:02"
4379492,GOGA-04002,,,,"2026-02-12 20:24:02"
4379634,GOGA-04002,,,,"2026-02-12 20:24:02"
4379637,GOGA-04002,,,,"2026-02-12 20:24:02"
4379640,GOGA-04002,,,,"2026-02-12 20:24:02"
4379641,GOGA-04002,,,,"2026-02-12 20:24:02"
4379982,GOGA-04002,,,,"2026-02-12 20:24:02"
4385852,GOGA-04002,,,,"2026-02-12 20:24:02"
4385853,GOGA-04002,,,,"2026-02-12 20:24:02"
4385854,GOGA-04002,,,,"2026-02-12 20:24:02"
4386173,GOGA-04002,,,,"2026-02-12 20:24:02"
4386174,GOGA-04002,,,,"2026-02-12 20:24:02"
4386176,GOGA-04002,,,,"2026-02-12 20:24:02"
4386178,GOGA-04002,,,,"2026-02-12 20:24:02"
4386179,GOGA-04002,,,,"2026-02-12 20:24:02"
4386180,GOGA-04002,,,,"2026-02-12 20:24:02"
4386183,GOGA-04002,,,,"2026-02-12 20:24:02"
4386184,GOGA-04002,,,,"2026-02-12 20:24:02"
4386185,GOGA-04002,,,,"2026-02-12 20:24:02"
4386186,GOGA-04002,,,,"2026-02-12 20:24:02"
4386205,GOGA-04002,,,,"2026-02-12 20:24:02"
4386208,GOGA-04002,,,,"2026-02-12 20:24:02"
4386210,GOGA-04002,,,,"2026-02-12 20:24:02"
4386211,GOGA-04002,,,,"2026-02-12 20:24:02"
4386212,GOGA-04002,,,,"2026-02-12 20:24:02"
4386214,GOGA-04002,,,,"2026-02-12 20:24:02"
4386215,GOGA-04002,,,,"2026-02-12 20:24:02"
4386216,GOGA-04002,,,,"2026-02-12 20:24:02"
4386217,GOGA-04002,,,,"2026-02-12 20:24:02"
4386218,GOGA-04002,,,,"2026-02-12 20:24:02"
4386282,GOGA-04002,,,,"2026-02-12 20:24:02"
4386283,GOGA-04002,,,,"2026-02-12 20:24:02"
4386284,GOGA-04002,,,,"2026-02-12 20:24:02"
4386285,GOGA-04002,,,,"2026-02-12 20:24:02"
4386286,GOGA-04002,,,,"2026-02-12 20:24:02"
4386287,GOGA-04002,,,,"2026-02-12 20:24:02"
4386288,GOGA-04002,,,,"2026-02-12 20:24:02"
4386289,GOGA-04002,,,,"2026-02-12 20:24:02"
4386290,GOGA-04002,,,,"2026-02-12 20:24:02"
4386291,GOGA-04002,,,,"2026-02-12 20:24:02"
4386292,GOGA-04002,,,,"2026-02-12 20:24:02"
4386293,GOGA-04002,,,,"2026-02-12 20:24:02"
4386294,GOGA-04002,,,,"2026-02-12 20:24:02"
4386295,GOGA-04002,,,,"2026-02-12 20:24:02"
4386296,GOGA-04002,,,,"2026-02-12 20:24:02"
4386297,GOGA-04002,,,,"2026-02-12 20:24:02"
4386298,GOGA-04002,,,,"2026-02-12 20:24:02"
4386299,GOGA-04002,,,,"2026-02-12 20:24:02"
4386300,GOGA-04002,,,,"2026-02-12 20:24:02"
4386301,GOGA-04002,,,,"2026-02-12 20:24:02"
4386302,GOGA-04002,,,,"2026-02-12 20:24:02"
4386303,GOGA-04002,,,,"2026-02-12 20:24:02"
4386304,GOGA-04002,,,,"2026-02-12 20:24:02"
4386305,GOGA-04002,,,,"2026-02-12 20:24:02"
4386306,GOGA-04002,,,,"2026-02-12 20:24:02"
4386307,GOGA-04002,,,,"2026-02-12 20:24:02"
4386308,GOGA-04002,,,,"2026-02-12 20:24:02"
4386309,GOGA-04002,,,,"2026-02-12 20:24:02"
4386310,GOGA-04002,,,,"2026-02-12 20:24:02"
4386311,GOGA-04002,,,,"2026-02-12 20:24:02"
4386312,GOGA-04002,,,,"2026-02-12 20:24:02"
4386314,GOGA-04002,,,,"2026-02-12 20:24:02"
4386317,GOGA-04002,,,,"2026-02-12 20:24:02"
4386318,GOGA-04002,,,,"2026-02-12 20:24:02"
4386319,GOGA-04002,,,,"2026-02-12 20:24:02"
4386320,GOGA-04002,,,,"2026-02-12 20:24:02"
4386321,GOGA-04002,,,,"2026-02-12 20:24:02"
4386322,GOGA-04002,,,,"2026-02-12 20:24:02"
4386323,GOGA-04002,,,,"2026-02-12 20:24:02"
4386324,GOGA-04002,,,,"2026-02-12 20:24:02"
4386326,GOGA-04002,,,,"2026-02-12 20:24:02"
4386327,GOGA-04002,,,,"2026-02-12 20:24:02"
4386328,GOGA-04002,,,,"2026-02-12 20:24:02"
4386329,GOGA-04002,,,,"2026-02-12 20:24:02"
4386330,GOGA-04002,,,,"2026-02-12 20:24:02"
4386331,GOGA-04002,,,,"2026-02-12 20:24:02"
4386332,GOGA-04002,,,,"2026-02-12 20:24:02"
4386333,GOGA-04002,,,,"2026-02-12 20:24:02"
4386335,GOGA-04002,,,,"2026-02-12 20:24:02"
4386336,GOGA-04002,,,,"2026-02-12 20:24:02"
4386337,GOGA-04002,,,,"2026-02-12 20:24:02"
4386338,GOGA-04002,,,,"2026-02-12 20:24:02"
4386339,GOGA-04002,,,,"2026-02-12 20:24:02"
4386340,GOGA-04002,,,,"2026-02-12 20:24:02"
4386341,GOGA-04002,,,,"2026-02-12 20:24:02"
4386342,GOGA-04002,,,,"2026-02-12 20:24:02"
4386343,GOGA-04002,,,,"2026-02-12 20:24:02"
4386344,GOGA-04002,,,,"2026-02-12 20:24:02"
4386345,GOGA-04002,,,,"2026-02-12 20:24:02"
4386346,GOGA-04002,,,,"2026-02-12 20:24:02"
4386347,GOGA-04002,,,,"2026-02-12 20:24:02"
4386348,GOGA-04002,,,,"2026-02-12 20:24:02"
4386349,GOGA-04002,,,,"2026-02-12 20:24:02"
4386350,GOGA-04002,,,,"2026-02-12 20:24:02"
4386351,GOGA-04002,,,,"2026-02-12 20:24:02"
4386353,GOGA-04002,,,,"2026-02-12 20:24:02"
4386354,GOGA-04002,,,,"2026-02-12 20:24:02"
4386355,GOGA-04002,,,,"2026-02-12 20:24:02"
4386356,GOGA-04002,,,,"2026-02-12 20:24:02"
4386357,GOGA-04002,,,,"2026-02-12 20:24:02"
4386358,GOGA-04002,,,,"2026-02-12 20:24:02"
4386360,GOGA-04002,,,,"2026-02-12 20:24:02"
4386366,GOGA-04002,,,,"2026-02-12 20:24:02"
4386369,GOGA-04002,,,,"2026-02-12 20:24:02"
4386370,GOGA-04002,,,,"2026-02-12 20:24:02"
4386373,GOGA-04002,,,,"2026-02-12 20:24:02"
4386374,GOGA-04002,,,,"2026-02-12 20:24:02"
4386377,GOGA-04002,,,,"2026-02-12 20:24:02"
