coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,format,type,subtype,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,tag,providerManagedID,MetadataDate,associatedSpecimenReference,metadataLanguage
272013,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp6-2262051029847864876.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp6-2262051029847864876.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp6-2262051029847864876.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp6-2262051029847864876.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,HasLabel,urn:uuid:4c3ee21a-7590-452c-9cad-b233ef5f9b39,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=272013,en
275299,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66909198532614299436.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66909198532614299436.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp66909198532614299436att_1649451233_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66909198532614299436.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,HasLabel,urn:uuid:5fe1834b-c3bb-4c96-8ccb-2cc68609e5c4,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=275299,en
1537235,https://inaturalist-open-data.s3.amazonaws.com/photos/571478/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/571478/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/571478/small.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/571478/medium.jpg,image/jpeg,StillImage,Photograph,,"USGS Bee Inventory and Monitoring Lab","USGS Bee Inventory and Monitoring Lab","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:1f350887-39e4-4bec-a321-c7ed27d9962e,"2021-11-03 16:21:05",https://library.big-bee.net/portal/collections/individual/index.php?occid=1537235,en
1420819,https://inaturalist-open-data.s3.amazonaws.com/photos/136146958/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/136146958/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/136146958/small.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/136146958/medium.jpg,image/jpeg,StillImage,Photograph,,"John Leszczynski","John Leszczynski","CC BY (Attribution)",http://creativecommons.org/licenses/by/4.0/,,,,urn:uuid:757ddb7f-ae61-4e0d-a24a-9f6c8c6bc66f,"2021-11-03 16:21:05",https://library.big-bee.net/portal/collections/individual/index.php?occid=1420819,en
1420819,https://inaturalist-open-data.s3.amazonaws.com/photos/136146939/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/136146939/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/136146939/small.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/136146939/medium.jpg,image/jpeg,StillImage,Photograph,,"John Leszczynski","John Leszczynski","CC BY (Attribution)",http://creativecommons.org/licenses/by/4.0/,,,,urn:uuid:f5be139b-40bc-48b3-a582-7d2d91aca4bb,"2021-11-03 16:21:05",https://library.big-bee.net/portal/collections/individual/index.php?occid=1420819,en
1420819,https://inaturalist-open-data.s3.amazonaws.com/photos/136146967/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/136146967/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/136146967/small.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/136146967/medium.jpg,image/jpeg,StillImage,Photograph,,"John Leszczynski","John Leszczynski","CC BY (Attribution)",http://creativecommons.org/licenses/by/4.0/,,,,urn:uuid:a343f428-7eb6-4249-b397-dc8eb9c9a931,"2021-11-03 16:21:05",https://library.big-bee.net/portal/collections/individual/index.php?occid=1420819,en
1420819,https://inaturalist-open-data.s3.amazonaws.com/photos/136146924/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/136146924/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/136146924/small.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/136146924/medium.jpg,image/jpeg,StillImage,Photograph,,"John Leszczynski","John Leszczynski","CC BY (Attribution)",http://creativecommons.org/licenses/by/4.0/,,,,urn:uuid:45c9fd9e-58fb-4248-9997-d9da676a7908,"2021-11-03 16:21:05",https://library.big-bee.net/portal/collections/individual/index.php?occid=1420819,en
1427693,https://inaturalist-open-data.s3.amazonaws.com/photos/571464/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/571464/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/571464/small.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/571464/medium.jpg,image/jpeg,StillImage,Photograph,,"USGS Bee Inventory and Monitoring Lab","USGS Bee Inventory and Monitoring Lab","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:1c7a3bd4-6569-4134-844b-77da72fac1a7,"2021-11-03 16:21:05",https://library.big-bee.net/portal/collections/individual/index.php?occid=1427693,en
1668328,https://collections.nmnh.si.edu/media/index.php?irn=9120975,https://collections.nmnh.si.edu/media/index.php?irn=9120975,https://collections.nmnh.si.edu/media/?i=9120975&width=300,https://collections.nmnh.si.edu/media/?i=9120975&width=1200,,StillImage,Photograph,,"Smithsonian Institution, National Museum of Natural History, Entomology Collection (NMNH-NMNH)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:7563acef-819c-4262-a1fb-54836cc6eefc,"2021-11-04 15:33:25",https://library.big-bee.net/portal/collections/individual/index.php?occid=1668328,en
1668328,https://collections.nmnh.si.edu/media/index.php?irn=9120976,https://collections.nmnh.si.edu/media/index.php?irn=9120976,https://collections.nmnh.si.edu/media/?i=9120976&width=300,https://collections.nmnh.si.edu/media/?i=9120976&width=1200,,StillImage,Photograph,,"Smithsonian Institution, National Museum of Natural History, Entomology Collection (NMNH-NMNH)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:7e7996a9-c789-4b4f-a054-1ebdf485ea79,"2021-11-04 15:33:25",https://library.big-bee.net/portal/collections/individual/index.php?occid=1668328,en
