coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
1067125,Timberlake,s.d.,,"Perdita coreopsidis","Cockerell, 1906",Perdita,coreopsidis,,,,,9f073763-3ef2-48b8-acd7-4e2381cbfcca,"2023-04-27 19:14:40"
1085064,"Robert L. Minckley",7-Nov-10,collaris,"Perdita coreopsidis","Cockerell, 1906",Perdita,coreopsidis,,,,Cockerellia,b734d195-57ad-4aa6-8c4c-3f6ae0cb1d4a,"2023-04-27 19:14:40"
1085065,"Robert L. Minckley",7-Nov-10,collaris,"Perdita coreopsidis","Cockerell, 1906",Perdita,coreopsidis,,,,Cockerellia,5a2245eb-9a42-465b-85b7-03efadb54319,"2023-04-27 19:14:40"
6157936,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",98d5e68d-a242-4302-a9bd-24782e00a7b2,"2025-11-20 15:34:40"
6157938,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",f2cc24a1-4703-4d08-9141-db1e01b29e5f,"2025-11-20 15:34:40"
6157940,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",c2d4b367-d587-48f6-a363-374875a16854,"2025-11-20 15:34:40"
6157943,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",799b53a7-2986-406e-914c-98c37e8cad8d,"2025-11-20 15:34:40"
6157946,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",2ff10af0-af41-41e0-81ca-e95d33ffb7de,"2025-11-20 15:34:40"
6157948,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",440445ae-ff78-4c02-827e-e9b8a0452b9e,"2025-11-20 15:34:40"
6157953,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",3ceca64a-2c39-45f9-a7cf-a0bf5aa13518,"2025-11-20 15:34:40"
6157957,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",a5a53ab5-770d-44f4-a189-3b5fba9d51f4,"2025-11-20 15:34:40"
6157958,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",0e97db7d-0dc3-4556-bd2c-a4839e09204c,"2025-11-20 15:34:40"
6157961,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",95f7254c-5494-4924-bc5e-5295e345d7c2,"2025-11-20 15:34:40"
6157963,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",bb2f27d9-36fd-4c13-a526-1c80caf68c81,"2025-11-20 15:34:40"
6157964,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",17a9f74a-a350-482e-8595-7325a3bc2df9,"2025-11-20 15:34:40"
6157966,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",14081e58-8d95-4956-ad1d-f617e08ba3bb,"2025-11-20 15:34:40"
6157968,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",95ad0f7e-7a5f-41de-b71b-2ba03889f864,"2025-11-20 15:34:40"
6157970,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",16f2a4f4-618d-4fed-beb8-d8448a940a03,"2025-11-20 15:34:40"
6157975,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",f43eff07-a8d3-4728-90fd-16e293ce4251,"2025-11-20 15:34:40"
6157976,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",e6104c50-8aa6-4b0c-bae8-b1d73bffa8fd,"2025-11-20 15:34:40"
6157977,"K.W. Wright",2015,,"Perdita coreopsidis","Cockerell, 1906",,,,,,"ssp. kansensis Timberlake",47ef7a4b-5c05-460c-9a4a-c5cec7b71e25,"2025-11-20 15:34:40"
