coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
111106,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,170305f2-1db4-455e-ad2c-df4a678a5b49,"2023-06-20 14:31:37"
113582,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,1b74707f-3598-4103-813a-c6afb19d2475,"2023-06-20 14:31:37"
115336,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,64a14105-b9bb-4222-9cfc-ef086abcaade,"2023-06-20 14:31:37"
115340,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,95f75ddb-c19c-49b3-bb0a-6fadb172af51,"2023-06-20 14:31:37"
115536,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,d6c6bfed-fda6-4dcc-88f8-1756590868ae,"2023-06-20 14:31:37"
115577,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,d5b1311a-1199-4c0f-aebc-d42ef4160910,"2023-06-20 14:31:37"
116607,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,41a030df-be82-4544-853e-08eb78ecc018,"2023-06-20 14:31:37"
119174,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,bf25a14b-c219-42c5-8065-1200df64d263,"2023-06-20 14:31:37"
119517,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,9e7ca564-cec7-483d-a0a7-06708039fe14,"2023-06-20 14:31:37"
120484,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,6f6414d4-e451-45f6-b9a2-bd3262e25487,"2023-06-20 14:31:37"
122679,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,483c7eac-4f49-4ef8-ae04-b3e398f64b0e,"2023-06-20 14:31:37"
122774,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,9750e8db-6dce-4ce3-9f2a-0418e63492c6,"2023-06-20 14:31:37"
123504,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,3ccc3d0f-225d-46ce-83b0-46f549600687,"2023-06-20 14:31:37"
123939,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,36b79385-e4b5-4e32-9d5d-7c40bcef17ec,"2023-06-20 14:31:37"
124336,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,63045dcb-f740-4f52-9196-8490785553a4,"2023-06-20 14:31:37"
125667,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,24861142-c3ec-4e89-8362-3bb60a809a90,"2023-06-20 14:31:37"
125810,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,b70c3766-611d-4865-a388-20bcfb513a53,"2023-06-20 14:31:37"
128106,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,dc089925-63ad-45f4-9d44-d1534a500b8e,"2023-06-20 14:31:37"
130093,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,779cf857-dceb-42e9-a87f-92539ff54809,"2023-06-20 14:31:37"
130565,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,cf4179af-ea41-409f-8c43-8bfe7d4ab7d2,"2023-06-20 14:31:37"
130643,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,37dcef41-370b-4379-8ce5-7e768366b88a,"2023-06-20 14:31:37"
133165,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,a256f641-e482-41d9-985b-14b458fd790d,"2023-06-20 14:31:37"
133357,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,4d357dfd-b384-4636-9292-14e181999563,"2023-06-20 14:31:37"
133654,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,342c14b8-580c-4183-8460-33598a2f9216,"2023-06-20 14:31:37"
134968,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,a24a4d37-ab82-40ed-a2c1-50a72e28cc2a,"2023-06-20 14:31:37"
138482,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,c4cf999a-7f60-4c24-8ae4-6b551af19218,"2023-06-20 14:31:37"
138822,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,091ff590-4666-43ca-9aa0-a278e1aceea2,"2023-06-20 14:31:37"
140109,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,eae85cc3-2985-4532-8dc1-6ee01c5acf5f,"2023-06-20 14:31:37"
143130,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,acdaa13e-42f1-4f88-b065-3eb4c09f5e0e,"2023-06-20 14:31:37"
143273,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,e45ff408-d2fe-4945-bc98-9cb4e33a3d7c,"2023-06-20 14:31:37"
143925,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,e401eae7-2b16-4943-b6c4-1be730326a28,"2023-06-20 14:31:37"
144272,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,10e10401-aa26-4f49-a9c1-5c6653e0e40e,"2023-06-20 14:31:37"
144906,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,9efa0b83-2a3a-4d4d-b97e-0d0ac27b2e4c,"2023-06-20 14:31:37"
145035,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,e7e823a3-5151-4f16-8622-f7bd0e846680,"2023-06-20 14:31:37"
146397,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,688ca591-84a4-4c0c-aa7d-c62b708f2826,"2023-06-20 14:31:37"
146480,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,88d03152-1ec2-46c2-8087-70d07fa8bec6,"2023-06-20 14:31:37"
147510,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,db605689-fbbb-4574-bb7b-701bc975f188,"2023-06-20 14:31:37"
147857,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,492dc98d-55c9-4cbe-908d-3d24dbc6ab1a,"2023-06-20 14:31:37"
150586,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,f9d101e7-292b-4c68-935c-f2a588480bb2,"2023-06-20 14:31:37"
151348,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,80e7ffee-a3a0-4a2b-aad1-e975168f6939,"2023-06-20 14:31:37"
152660,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,7f20ed9f-0274-43ca-8ba5-156e48769cdc,"2023-06-20 14:31:37"
152722,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,303d46df-8a21-4af9-a539-9d38d3a0d004,"2023-06-20 14:31:37"
154102,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,becec1ba-84d8-4f70-9d71-17f4e544816c,"2023-06-20 14:31:37"
154640,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,c4099034-e80c-4240-9280-842b26c2d4a0,"2023-06-20 14:31:37"
156915,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,de0eb1a4-4568-458b-ac3c-1520f60c14da,"2023-06-20 14:31:37"
158163,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,4ae966fe-c59a-41ff-abc1-f1c65e20151b,"2023-06-20 14:31:37"
159315,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,0fa08f1f-bb94-4ce5-8011-a4b207530ccb,"2023-06-20 14:31:37"
159513,unknown,s.d.,,"Ashmeadiella bucconis denticulata","(Cresson, 1878)",Ashmeadiella,bucconis,,denticulata,,,8e5a94a4-006a-4f02-b0a6-a96cd36c116f,"2023-06-20 14:31:37"
160643,unknown,s.d.,,"Ashmeadiella bucconis","(Say, 1837)",Ashmeadiella,bucconis,,,,,93c25819-1f08-4b37-a554-a12e21344d0a,"2023-06-20 14:31:37"
