coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,format,type,subtype,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,tag,providerManagedID,MetadataDate,associatedSpecimenReference,metadataLanguage
86294,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66577289281568335910.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66577289281568335910.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp66577289281568335910att_1649404272_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66577289281568335910.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:af77707b-fab7-43bf-a581-6ac539763b6b,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=86294,en
86957,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:40a0cf75-0c0e-4a81-88f7-76291783567f,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=86957,en
87972,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:7da733b9-433d-4cdb-9cb6-67b004fd9eb1,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=87972,en
88941,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:caea0fb4-1c58-4f5d-869f-3fdbe27cc760,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=88941,en
89491,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63468844363507377609.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63468844363507377609.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp63468844363507377609att_1649413790_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp63468844363507377609.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:f9a94f33-a98d-4ef7-90d6-09fdb694084b,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=89491,en
89739,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp64546386106254208785.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp64546386106254208785.att.JPG,https://media01.symbiota.org/media/bigbee/misc/202204/sp64546386106254208785att_1649403145_tn.jpg,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp64546386106254208785.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:6534e925-574e-4740-b7c6-4546f67b368d,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=89739,en
91194,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:268f7b88-2c18-453e-bea0-daf7b007862e,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=91194,en
93164,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62622275199619125316.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62622275199619125316.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62622275199619125316.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp62622275199619125316.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:394a7d75-37b0-47e0-ba4a-fce1f465e563,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=93164,en
93817,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp67310417310536690326.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:997fd144-80ea-4272-8981-e893b18526e4,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=93817,en
95934,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66577289281568335910.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66577289281568335910.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66577289281568335910.att.JPG,http://biimages.biodiversity.ku.edu/static/Entomology/originals/sp66577289281568335910.att.JPG,image/jpeg,StillImage,Photograph,,"University of Kansas Natural History Museum Entomology Division (KU-KU)",,"CC0 1.0 (Public-domain)",https://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:b69bacf2-b35f-4fa9-88c0-41da60407956,"2021-11-02 18:27:18",https://library.big-bee.net/portal/collections/individual/index.php?occid=95934,en
