coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,format,type,subtype,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,tag,providerManagedID,MetadataDate,associatedSpecimenReference,metadataLanguage
1487813,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096590_had_lg.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096590_had_lg.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096590_had_tn.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096590_had.JPG,image/jpeg,StillImage,Photograph,,"Florida State Collection of Arthropods",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,HabitusDorsal,,urn:uuid:7d86d431-5c24-4466-8356-5d596307823a,"2023-07-05 16:09:57",https://ecdysis.org/collections/individual/index.php?occid=1487813,en
1490263,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096591_had_lg.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096591_had_lg.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096591_had_tn.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096591_had.JPG,image/jpeg,StillImage,Photograph,,"Florida State Collection of Arthropods",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,HabitusDorsal,,urn:uuid:bf9baa9e-a8b9-446c-ba3f-b918a4e0105e,"2023-07-05 16:09:57",https://ecdysis.org/collections/individual/index.php?occid=1490263,en
1492537,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096592_had_lg.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096592_had_lg.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096592_had_tn.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096592_had.JPG,image/jpeg,StillImage,Photograph,,"Florida State Collection of Arthropods",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,HabitusDorsal,,urn:uuid:659a31d3-a960-4f46-9bfc-aa206021fb6e,"2023-07-05 16:09:57",https://ecdysis.org/collections/individual/index.php?occid=1492537,en
1492863,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096594_had_lg.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096594_had_lg.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096594_had_tn.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096594_had.JPG,image/jpeg,StillImage,Photograph,,"Florida State Collection of Arthropods",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,HabitusDorsal,,urn:uuid:a1304ec9-5aee-4e86-80e2-e6974b607007,"2023-07-05 16:09:57",https://ecdysis.org/collections/individual/index.php?occid=1492863,en
1485513,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096595_hef.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096595_hef.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096595_hef_tn.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096595_hef_med.jpg,image/jpeg,StillImage,Photograph,,"Florida State Collection of Arthropods",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:a3531f1e-47d9-4283-96cb-2d1d563ac812,"2023-07-28 14:21:45",https://ecdysis.org/collections/individual/index.php?occid=1485513,en
1487558,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096593_hal.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096593_hal.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096593_hal_tn.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096593_hal_med.jpg,image/jpeg,StillImage,Photograph,,"Florida State Collection of Arthropods",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:8bda68dd-a613-4bca-92b5-9c2a3d7d4970,"2023-07-28 14:23:09",https://ecdysis.org/collections/individual/index.php?occid=1487558,en
1487558,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096593_hef.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096593_hef.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096593_hef_tn.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096593_hef_med.jpg,image/jpeg,StillImage,Photograph,,"Florida State Collection of Arthropods",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:b29ed748-ab58-4994-8e96-8e497763943a,"2023-07-28 14:28:06",https://ecdysis.org/collections/individual/index.php?occid=1487558,en
1487558,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096593_had.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096593_had.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096593_had_tn.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096593_had_med.jpg,image/jpeg,StillImage,Photograph,,"Florida State Collection of Arthropods",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:d4e3226e-f050-472c-9680-6b6de2c7d5ff,"2023-07-28 14:39:22",https://ecdysis.org/collections/individual/index.php?occid=1487558,en
1485513,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096595_hal.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096595_hal.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096595_hal_tn.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096595_hal_med.jpg,image/jpeg,StillImage,Photograph,,"Florida State Collection of Arthropods",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:14b7082d-0537-431a-b931-d148b678761f,"2023-07-28 14:39:27",https://ecdysis.org/collections/individual/index.php?occid=1485513,en
1485513,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096595_had.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096595_had.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096595_had_tn.jpg,https://media01.symbiota.org/media/ecdysis/FSCA/FSCA00096/FSCA_00096595_had_med.jpg,image/jpeg,StillImage,Photograph,,"Florida State Collection of Arthropods",,"CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,,urn:uuid:13bda5c5-c649-4d2e-b789-5be29351dc7c,"2023-07-28 14:39:41",https://ecdysis.org/collections/individual/index.php?occid=1485513,en
