coreid,identifier,title,format,recordID,initialTimestamp
2432783,NULL,,,,"2026-04-21 14:11:54"
2433012,NULL,,,,"2026-04-21 14:11:54"
2435408,NULL,,,,"2026-04-21 14:11:54"
2435409,NULL,,,,"2026-04-21 14:11:54"
2435498,NULL,,,,"2026-04-21 14:11:54"
2435614,NULL,,,,"2026-04-21 14:11:54"
2436516,NULL,,,,"2026-04-21 14:11:55"
2441312,NULL,,,,"2026-04-21 14:11:55"
2447091,NULL,,,,"2026-04-21 14:11:55"
2447939,NULL,,,,"2026-04-21 14:11:55"
2458204,NULL,,,,"2026-04-21 14:11:55"
2458208,NULL,,,,"2026-04-21 14:11:55"
2458542,NULL,,,,"2026-04-21 14:11:55"
2458560,NULL,,,,"2026-04-21 14:11:55"
2458564,NULL,,,,"2026-04-21 14:11:55"
2458565,NULL,,,,"2026-04-21 14:11:55"
2459760,NULL,,,,"2026-04-21 14:11:55"
2460396,NULL,,,,"2026-04-21 14:11:55"
2460401,NULL,,,,"2026-04-21 14:11:55"
2461072,NULL,,,,"2026-04-21 14:11:55"
2461397,NULL,,,,"2026-04-21 14:11:55"
2464750,NULL,,,,"2026-04-21 14:11:55"
2465606,NULL,,,,"2026-04-21 14:11:55"
2465750,NULL,,,,"2026-04-21 14:11:55"
2465753,NULL,,,,"2026-04-21 14:11:55"
2466806,NULL,,,,"2026-04-21 14:11:55"
2466823,NULL,,,,"2026-04-21 14:11:55"
2467136,NULL,,,,"2026-04-21 14:11:55"
2467143,NULL,,,,"2026-04-21 14:11:55"
2467159,NULL,,,,"2026-04-21 14:11:55"
2467360,NULL,,,,"2026-04-21 14:11:55"
2469648,NULL,,,,"2026-04-21 14:11:55"
2469671,NULL,,,,"2026-04-21 14:11:55"
2469672,NULL,,,,"2026-04-21 14:11:55"
2469675,NULL,,,,"2026-04-21 14:11:55"
2470657,NULL,,,,"2026-04-21 14:11:55"
2470661,NULL,,,,"2026-04-21 14:11:55"
2470772,NULL,,,,"2026-04-21 14:11:55"
2470799,NULL,,,,"2026-04-21 14:11:55"
2470800,NULL,,,,"2026-04-21 14:11:55"
2470801,NULL,,,,"2026-04-21 14:11:55"
2471054,NULL,,,,"2026-04-21 14:11:55"
2471273,NULL,,,,"2026-04-21 14:11:55"
2471291,NULL,,,,"2026-04-21 14:11:55"
2471292,NULL,,,,"2026-04-21 14:11:55"
2471293,NULL,,,,"2026-04-21 14:11:55"
2472457,NULL,,,,"2026-04-21 14:11:55"
2472576,NULL,,,,"2026-04-21 14:11:55"
2472581,NULL,,,,"2026-04-21 14:11:55"
2473283,NULL,,,,"2026-04-21 14:11:55"
2473284,NULL,,,,"2026-04-21 14:11:55"
2473573,NULL,,,,"2026-04-21 14:11:55"
2473574,NULL,,,,"2026-04-21 14:11:55"
2473575,NULL,,,,"2026-04-21 14:11:55"
2473576,NULL,,,,"2026-04-21 14:11:55"
2474543,NULL,,,,"2026-04-21 14:11:55"
2474547,NULL,,,,"2026-04-21 14:11:55"
2474593,NULL,,,,"2026-04-21 14:11:55"
2475283,NULL,,,,"2026-04-21 14:11:55"
2475284,NULL,,,,"2026-04-21 14:11:55"
2475285,NULL,,,,"2026-04-21 14:11:55"
2475288,NULL,,,,"2026-04-21 14:11:55"
2475606,NULL,,,,"2026-04-21 14:11:55"
2475607,NULL,,,,"2026-04-21 14:11:55"
2477811,NULL,,,,"2026-04-21 14:11:55"
