coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
98301,"Rozen, Jerome",s.d.,,"Calliopsis hesperia","(Swenk &Cockerell, 1907)",Calliopsis,hesperia,,,,,69fa2045-7267-49d2-8669-add64bf72cc8,"2023-06-20 14:31:37"
107928,"Brooks, Robert",s.d.,,"Calliopsis hesperia equina","(Cockerell, 1925)",Calliopsis,hesperia,,,,,e0740e54-8fa3-4fed-b79d-c5eb6cb25efd,"2023-06-20 14:31:37"
108073,"Rozen, Jerome",s.d.,,"Calliopsis hesperia","(Swenk &Cockerell, 1907)",Calliopsis,hesperia,,,,,2621d90b-d72c-4dde-b9c1-32616fcba978,"2023-06-20 14:31:37"
123077,"Rozen, Jerome",s.d.,,"Calliopsis hesperia","(Swenk &Cockerell, 1907)",Calliopsis,hesperia,,,,,0bdef177-6298-409f-83da-8ab152f887f4,"2023-06-20 14:31:37"
134132,"Brooks, Robert",s.d.,,"Calliopsis hesperia","(Swenk &Cockerell, 1907)",Calliopsis,hesperia,,,,,fc309e86-0d9b-44e8-b297-7dac5436d2b8,"2023-06-20 14:31:37"
154846,"Rozen, Jerome",s.d.,,"Calliopsis hesperia","(Swenk &Cockerell, 1907)",Calliopsis,hesperia,,,,,9000e968-e57e-4933-a151-16ce89f60cb3,"2023-06-20 14:31:37"
157623,"Rozen, Jerome",s.d.,,"Calliopsis hesperia","(Swenk &Cockerell, 1907)",Calliopsis,hesperia,,,,,6238419c-0b5e-4c6d-8de0-714a4151b021,"2023-06-20 14:31:37"
167280,"Brooks, Robert",s.d.,,"Calliopsis hesperia equina","(Cockerell, 1925)",Calliopsis,hesperia,,,,,55e58d4a-0396-4834-a03a-044e8e88dc91,"2023-06-20 14:31:37"
196625,"Rozen, Jerome",s.d.,,"Calliopsis hesperia equina","(Cockerell, 1925)",Calliopsis,hesperia,,,,,696b8aa2-624d-48ce-8eca-e712bd519ea2,"2023-06-20 14:31:37"
210705,"Rozen, Jerome",s.d.,,"Calliopsis hesperia","(Swenk &Cockerell, 1907)",Calliopsis,hesperia,,,,,f108a4d2-f075-481a-a2b8-794e7c75d45e,"2023-06-20 14:31:37"
216278,"Rozen, Jerome",s.d.,,"Calliopsis hesperia equina","(Cockerell, 1925)",Calliopsis,hesperia,,,,,7cfd0715-8b5f-4c00-b6f2-88c76222261c,"2023-06-20 14:31:37"
217141,"Rozen, Jerome",s.d.,,"Calliopsis hesperia","(Swenk &Cockerell, 1907)",Calliopsis,hesperia,,,,,decf173f-1c84-4f52-813c-989a3366b62a,"2023-06-20 14:31:37"
242082,"Rozen, Jerome",s.d.,,"Calliopsis hesperia","(Swenk &Cockerell, 1907)",Calliopsis,hesperia,,,,,a0fc6feb-5a0f-477f-9303-af5ec25f8714,"2023-06-20 14:31:37"
270384,"Brooks, Robert",s.d.,,"Calliopsis hesperia","(Swenk &Cockerell, 1907)",Calliopsis,hesperia,,,,,1c1b80f7-e4ae-4b40-812a-45ef3c103813,"2023-06-20 14:31:37"
772309,"J.G. Rozen 1955",s.d.,,"Calliopsis hesperia hesperia","(Swenk and Cockerell 1907)",Calliopsis,hesperia,,,,,c9ab74f3-6cea-41d9-a4ea-487ea41c4471,"2023-06-20 14:31:37"
772310,"J.G. Rozen 1955",s.d.,,"Calliopsis hesperia hesperia","(Swenk and Cockerell 1907)",Calliopsis,hesperia,,,,,2d2d1f50-ad35-493d-add0-af8dddbdfa5e,"2023-06-20 14:31:37"
772311,"J.G. Rozen 1955",s.d.,,"Calliopsis hesperia hesperia","(Swenk and Cockerell 1907)",Calliopsis,hesperia,,,,,188e698a-7ad6-4ab3-9b2b-3f158a4429d3,"2023-06-20 14:31:37"
772312,unknown,s.d.,,"Calliopsis hesperia hesperia","(Swenk and Cockerell 1907)",Calliopsis,hesperia,,,,,d0840796-f976-4a44-ac41-2095ba113c5b,"2023-06-20 14:31:37"
1244413,"Keng-Lou James Hung",2020-11-06T20:54:10,,"Calliopsis hesperia","(Swenk &Cockerell, 1907)",Calliopsis,hesperia,,,,,113a8883-1eac-4055-bc6d-0099c5c5d259,"2023-06-20 14:31:37"
2081963,unknown,s.d.,,"Spinoliella equina",Cockerell,Spinoliella,equina,,,,,eb08fc4d-d7d1-4da5-8789-64a004a2c032,"2023-06-20 14:31:37"
2151758,"Jerome G. Rozen",,,"Calliopsis hesperia",,,,,,,,b47cd4cb-0643-4eca-9271-70f5c7258f3f,"2025-11-04 19:29:55"
2151758,"Jerome G. Rozen","not specified",,"Calliopsis hesperia",,,,,,,,36d2da06-bbfc-4579-8cbc-01051cb82fd1,"2023-01-31 19:49:44"
2151758,"Jerome G. Rozen",s.d.,,"Calliopsis hesperia","(Swenk & Cockerell, 1907)",Calliopsis,hesperia,,,,,67903ede-0ffa-42cc-9ca7-3f662a93c6ae,"2023-06-20 14:31:37"
